month,ind_11
2024-02-01,2.2151050588841388
2024-01-01,2.7806347395325703
2023-12-01,2.3424840763945154
2023-11-01,2.1493510238049183
2023-10-01,1.5979412233630745
2023-09-01,1.7934881874312618
2023-08-01,2.000300469648999
2023-07-01,2.327424157700273
2023-06-01,1.9346083408040424
2023-05-01,2.1873408602681548
2023-04-01,2.7084649618018384
2023-03-01,2.5996817099716805
2023-02-01,2.9673959163346613
2023-01-01,2.5932679240729706
2022-12-01,2.3221947845284863
2022-11-01,2.2847723072450523
2022-10-01,2.234373053236888
2022-09-01,1.9980972781065092
2022-08-01,2.311998183092068
2022-07-01,2.586196100614236
2022-06-01,2.5890373053986377
2022-05-01,2.6430422707119017
2022-04-01,3.133885755690179
2022-03-01,3.1779485169214694
2022-02-01,2.778557385380107
2022-01-01,2.7417957620955673
2021-12-01,2.328240061080155
2021-11-01,2.0822311559094393
2021-10-01,2.125654596941209
2021-09-01,2.130435505159587
2021-08-01,2.5581658007680144
2021-07-01,2.8834247302317357
2021-06-01,2.799843729652298
2021-05-01,2.8905712319339303
2021-04-01,2.686875645883569
2021-03-01,2.974105364379421
2021-02-01,3.232354778263585
2021-01-01,2.4194127360183786
2020-12-01,2.126204963423805
2020-11-01,1.9970010905125408
2020-10-01,2.298992645695569
2020-09-01,2.156251908863234
2020-08-01,2.608746287777325
2020-07-01,2.809056061332056
2020-06-01,2.85819430814524
2020-05-01,2.8124799794990065
2020-04-01,2.869234631662004
2020-03-01,2.674537239469465
2020-02-01,2.6357169599400976
2020-01-01,1.9815162907268167
2019-12-01,2.2034349620556513
2019-11-01,2.1656560271873126
2019-10-01,2.13362594489149
2019-09-01,1.9687461547926661
2019-08-01,2.4109263657957247
2019-07-01,2.767851735206832
2019-06-01,2.7407593663565497
2019-05-01,2.431944265256096
2019-04-01,2.9239353061656894
2019-03-01,2.544868199663488
2019-02-01,2.583550604408628
2019-01-01,2.2950579263821673
2018-12-01,2.1944892378882424
2018-11-01,1.9061481943578014
2018-10-01,1.470875366091767
2018-09-01,1.6757246376811596
2018-08-01,1.810802372775523
2018-07-01,1.74488188976378
2018-06-01,1.4271621177244327
2018-05-01,1.1343985612506051
2018-04-01,0.8151759865914978
2018-03-01,0.5409643277146218
2018-02-01,0.3999600039996
2018-01-01,0.2466429158673609
2017-12-01,0.3250380904012189
2017-11-01,0.15262938809490773
2017-10-01,0.0
2017-09-01,2.005211283561799
2017-08-01,2.389552653514865
2017-07-01,2.542764678687009
2017-06-01,2.9160951756216824
2017-05-01,2.736303610731069
2017-04-01,2.6013269394994416
2017-03-01,2.811893988364577
2017-02-01,2.479220406993408
2017-01-01,2.4993263271355426
2016-12-01,2.48877245508982
2016-11-01,2.143581938102486
2016-10-01,1.6135538523598225
2016-09-01,1.7804154302670623
2016-08-01,1.840119001707895
2016-07-01,2.403409090909091
2016-06-01,1.9590945650924965
2016-05-01,1.8507841328413284
2016-04-01,1.3367163809641687
2016-03-01,2.1795113372275616
2016-02-01,1.7956903431763767
2016-01-01,1.655821145544746
2015-12-01,2.3666484616784995
2015-11-01,1.7726085333996766
2015-10-01,1.4452318509011775
2015-09-01,1.5833095170048586
2015-08-01,2.115158636897768
2015-07-01,2.368318158967771
2015-06-01,2.248356969906607
2015-05-01,1.906462389125677
2015-04-01,1.9925971622455272
2015-03-01,2.1366178596116385
2015-02-01,1.7307692307692308
2015-01-01,1.5240403009820176
2014-12-01,1.3416982421268402
2014-11-01,1.4842643345445587
2014-10-01,1.200987112695366
2014-09-01,1.685620273624661
2014-08-01,2.0416067278964256
2014-07-01,2.101818988464951
2014-06-01,1.7314044879826858
2014-05-01,1.6790065877689035
2014-04-01,1.6734372157885165
2014-03-01,1.397098334228909
2014-02-01,2.2968920392584518
2014-01-01,1.987824574481302
2013-12-01,1.6321020984169838
2013-11-01,1.1575178997613365
2013-10-01,1.1331598351767511
2013-09-01,1.1055497497387383
2013-08-01,1.562583614277305
2013-07-01,1.3673503418375856
2013-06-01,1.1715143120960296
2013-05-01,1.4941362201172756
2013-04-01,1.9094640414014634
2013-03-01,1.2211181611397104
2013-02-01,1.8320918059190658
2013-01-01,1.7106549364613883
2012-12-01,1.3050379166421728
2012-11-01,0.9299966181941156
2012-10-01,0.7428089769255084
2012-09-01,0.6436854984572827
2012-08-01,0.5088658063162311
2012-07-01,0.28421278421278423
2012-06-01,0.27025594828043026
2012-05-01,0.5331134927177796
2012-04-01,0.4381031318453615
2012-03-01,0.32802528776763884
2012-02-01,0.1918403887965213
2012-01-01,0.5195281462013325
2011-12-01,0.6323925518210564
2011-11-01,0.9151747411771435
2011-10-01,0.8560105680317041
2011-09-01,1.0356855379661927
2011-08-01,0.8178756615170791
2011-07-01,0.546388964024885
2011-06-01,0.721943860783363
2011-05-01,0.707416823256328
2011-04-01,0.29805388346677575
2011-03-01,0.43859649122807015
2011-02-01,0.463082068433239
2011-01-01,0.7464012795450506
2010-12-01,0.673223275963002
2010-11-01,0.6856359273225917
2010-10-01,1.0026737967914439
2010-09-01,1.0290525440465672
2010-08-01,0.7297458300238283
2010-07-01,0.6795716639209225
2010-06-01,0.0
2010-05-01,0.0
2010-04-01,0.0
2010-03-01,0.0
2010-02-01,0.0
2010-01-01,0.0
2009-12-01,0.0
2009-11-01,0.0
2009-10-01,0.0
2009-09-01,0.0
2009-08-01,0.0
2009-07-01,0.0
2009-06-01,0.0
2009-05-01,0.0
2009-04-01,0.0
2009-03-01,0.0
2009-02-01,0.0
2009-01-01,0.0
2008-12-01,0.0
2008-11-01,0.0
2008-10-01,0.0
